time_utc,semi_major_axis_km,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,mean_anomaly_deg
2026-03-21T07:38:40Z,6898.13804,0.000550986671,97.7145652,350.958777,120.40771,270.034158
2026-03-21T07:38:41Z,6898.13595,2.78689909e-07,97.7145788,350.958785,210.441886,179.999984
2026-03-21T07:38:42Z,6898.13595,2.78689779e-07,97.7146062,350.958801,210.505004,180.000006
2026-03-21T07:38:43Z,6898.13595,2.78689806e-07,97.7146335,350.958817,210.56814,180.00001
2026-03-21T07:38:44Z,6898.13595,2.78689848e-07,97.7146608,350.958834,210.631291,179.999999
2026-03-21T07:38:45Z,6898.13595,2.78689939e-07,97.714688,350.95885,210.694437,179.999994
2026-03-21T07:38:46Z,6898.13595,2.78689825e-07,97.7147153,350.958866,210.757571,180.000002
2026-03-21T07:38:47Z,6898.13595,2.78690032e-07,97.7147425,350.958883,210.820714,180
2026-03-21T07:38:48Z,6898.13595,2.78689929e-07,97.7147698,350.958899,210.883856,179.999997
2026-03-21T07:38:49Z,6898.13595,2.78689642e-07,97.714797,350.958916,210.94699,180.000005
2026-03-21T07:38:50Z,6898.13595,2.78689953e-07,97.7148241,350.958932,211.010134,180.000001
2026-03-21T07:38:51Z,6898.13595,2.78689942e-07,97.7148513,350.958949,211.073283,179.999993
2026-03-21T07:38:52Z,6898.13595,2.78689706e-07,97.7148785,350.958965,211.136415,180.000001
2026-03-21T07:38:53Z,6898.13595,2.78689796e-07,97.7149056,350.958982,211.19955,180.000007
2026-03-21T07:38:54Z,6898.13595,2.78689957e-07,97.7149327,350.958998,211.262697,180.000001
2026-03-21T07:38:55Z,6898.13595,2.78689994e-07,97.7149598,350.959015,211.325845,179.999993
2026-03-21T07:38:56Z,6898.13595,2.78689912e-07,97.7149869,350.959032,211.388978,180.000001
2026-03-21T07:38:57Z,6898.13595,2.78689832e-07,97.7150139,350.959048,211.452115,180.000005
2026-03-21T07:38:58Z,6898.13595,2.7868973e-07,97.715041,350.959065,211.515267,179.999993
2026-03-21T07:38:59Z,6898.13595,2.78689909e-07,97.715068,350.959082,211.578407,179.999994
2026-03-21T07:39:00Z,6898.13595,2.78689836e-07,97.715095,350.959098,211.641531,180.000011
2026-03-21T07:39:01Z,6898.13595,2.78689829e-07,97.715122,350.959115,211.70468,180.000003
2026-03-21T07:39:02Z,6898.13595,2.78689902e-07,97.7151489,350.959132,211.76784,179.999983
2026-03-21T07:39:03Z,6898.13595,2.78689793e-07,97.7151759,350.959149,211.83097,179.999994
2026-03-21T07:39:04Z,6898.13595,2.78689951e-07,97.7152028,350.959166,211.894099,180.000005
2026-03-21T07:39:05Z,6898.13595,2.78689895e-07,97.7152297,350.959183,211.957245,180
2026-03-21T07:39:06Z,6898.13595,2.78689846e-07,97.7152566,350.9592,212.020376,180.000009
2026-03-21T07:39:07Z,6898.13595,2.78689886e-07,97.7152835,350.959217,212.083518,180.000008
2026-03-21T07:39:08Z,6898.13595,2.78689702e-07,97.7153103,350.959234,212.146662,180.000005
2026-03-21T07:39:09Z,6898.13595,2.78689855e-07,97.7153372,350.959251,212.209815,179.999993
2026-03-21T07:39:10Z,6898.13595,2.78689967e-07,97.715364,350.959268,212.272959,179.999989
2026-03-21T07:39:11Z,6898.13595,2.78689801e-07,97.7153908,350.959285,212.336086,180.000003
2026-03-21T07:39:12Z,6898.13595,2.78689907e-07,97.7154176,350.959302,212.399224,180.000005
2026-03-21T07:39:13Z,6898.13595,2.78689829e-07,97.7154443,350.959319,212.462366,180.000005
2026-03-21T07:39:14Z,6898.13595,2.78689814e-07,97.7154711,350.959336,212.525519,179.999992
2026-03-21T07:39:15Z,6898.13595,2.78689865e-07,97.7154978,350.959354,212.588654,179.999998
2026-03-21T07:39:16Z,6898.13595,2.78689841e-07,97.7155245,350.959371,212.65178,180.000013
2026-03-21T07:39:17Z,6898.13595,2.7868981e-07,97.7155512,350.959388,212.714927,180.000006
2026-03-21T07:39:18Z,6898.13595,2.78689935e-07,97.7155779,350.959405,212.778094,179.999981
2026-03-21T07:39:19Z,6898.13595,2.78689968e-07,97.7156045,350.959423,212.841234,179.999982
2026-03-21T07:39:20Z,6898.13595,2.78689787e-07,97.7156311,350.95944,212.904341,180.000015
2026-03-21T07:39:21Z,6898.13595,2.78689867e-07,97.7156578,350.959458,212.967482,180.000014
2026-03-21T07:39:22Z,6898.13595,2.78689781e-07,97.7156844,350.959475,213.030639,179.999998
2026-03-21T07:39:23Z,6898.13595,2.78689822e-07,97.7157109,350.959492,213.093778,180
2026-03-21T07:39:24Z,6898.13595,2.78689941e-07,97.7157375,350.95951,213.156925,179.999994
2026-03-21T07:39:25Z,6898.13595,2.78689987e-07,97.715764,350.959527,213.22006,180
2026-03-21T07:39:26Z,6898.13595,2.78689874e-07,97.7157905,350.959545,213.283196,180.000005
2026-03-21T07:39:27Z,6898.13595,2.78689763e-07,97.715817,350.959563,213.346348,179.999993
2026-03-21T07:39:28Z,6898.13595,2.78689892e-07,97.7158435,350.95958,213.40949,179.999993
2026-03-21T07:39:29Z,6898.13595,2.78689827e-07,97.71587,350.959598,213.472617,180.000006
2026-03-21T07:39:30Z,6898.13595,2.78689738e-07,97.7158964,350.959615,213.535754,180.000009
2026-03-21T07:39:31Z,6898.13595,2.78689908e-07,97.7159228,350.959633,213.598909,179.999995
2026-03-21T07:39:32Z,6898.13595,2.7868998e-07,97.7159492,350.959651,213.662052,179.999993
2026-03-21T07:39:33Z,6898.13595,2.7868976e-07,97.7159756,350.959669,213.725181,180.000005
2026-03-21T07:39:34Z,6898.13595,2.78689761e-07,97.716002,350.959686,213.788315,180.000012
2026-03-21T07:39:35Z,6898.13595,2.78689964e-07,97.7160283,350.959704,213.851473,179.999995
2026-03-21T07:39:36Z,6898.13595,2.78689891e-07,97.7160546,350.959722,213.914609,180
2026-03-21T07:39:37Z,6898.13595,2.78689828e-07,97.7160809,350.95974,213.977744,180.000005
2026-03-21T07:39:38Z,6898.13595,2.78689918e-07,97.7161072,350.959758,214.0409,179.99999
2026-03-21T07:39:39Z,6898.13595,2.78689725e-07,97.7161335,350.959776,214.104029,180.000002
2026-03-21T07:39:40Z,6898.13595,2.7868984e-07,97.7161597,350.959794,214.167176,179.999996
2026-03-21T07:39:41Z,6898.13595,2.78690048e-07,97.7161859,350.959812,214.230316,179.999996
2026-03-21T07:39:42Z,6898.13595,2.78689845e-07,97.7162121,350.95983,214.293443,180.000011
2026-03-21T07:39:43Z,6898.13595,2.78689815e-07,97.7162383,350.959848,214.356604,179.999991
2026-03-21T07:39:44Z,6898.13595,2.78689777e-07,97.7162645,350.959866,214.419732,180.000004
2026-03-21T07:39:45Z,6898.13595,2.78689842e-07,97.7162906,350.959884,214.482876,180.000001
2026-03-21T07:39:46Z,6898.13595,2.78689825e-07,97.7163168,350.959902,214.546023,179.999994
2026-03-21T07:39:47Z,6898.13595,2.7868985e-07,97.7163429,350.95992,214.60914,180.000018
2026-03-21T07:39:48Z,6898.13595,2.78689991e-07,97.716369,350.959938,214.672302,179.999997
2026-03-21T07:39:49Z,6898.13595,2.78689902e-07,97.716395,350.959957,214.735444,179.999996
2026-03-21T07:39:50Z,6898.13595,2.78689766e-07,97.7164211,350.959975,214.798585,179.999996
2026-03-21T07:39:51Z,6898.13595,2.78689745e-07,97.7164471,350.959993,214.861729,179.999993
2026-03-21T07:39:52Z,6898.13595,2.78689923e-07,97.7164731,350.960011,214.924855,180.000007
2026-03-21T07:39:53Z,6898.13595,2.78689911e-07,97.7164991,350.96003,214.987992,180.000011
2026-03-21T07:39:54Z,6898.13595,2.78689848e-07,97.7165251,350.960048,215.051147,179.999997
2026-03-21T07:39:55Z,6898.13595,2.78689937e-07,97.716551,350.960067,215.114293,179.999992
2026-03-21T07:39:56Z,6898.13595,2.78689921e-07,97.7165769,350.960085,215.177418,180.000008
2026-03-21T07:39:57Z,6898.13595,2.78689807e-07,97.7166028,350.960103,215.240573,179.999994
2026-03-21T07:39:58Z,6898.13595,2.78689849e-07,97.7166287,350.960122,215.303715,179.999993
2026-03-21T07:39:59Z,6898.13595,2.78689932e-07,97.7166546,350.96014,215.366844,180.000004
2026-03-21T07:40:00Z,6898.13595,2.78689702e-07,97.7166804,350.960159,215.429984,180.000006
2026-03-21T07:40:01Z,6898.13595,2.78689772e-07,97.7167063,350.960177,215.493131,179.999999
2026-03-21T07:40:02Z,6898.13595,2.7868998e-07,97.7167321,350.960196,215.556282,179.999989
2026-03-21T07:40:03Z,6898.13595,2.78689856e-07,97.7167579,350.960215,215.619415,179.999997
2026-03-21T07:40:04Z,6898.13595,2.78689838e-07,97.7167836,350.960233,215.682552,180
2026-03-21T07:40:05Z,6898.13595,2.78689765e-07,97.7168094,350.960252,215.745686,180.000008
2026-03-21T07:40:06Z,6898.13595,2.78689897e-07,97.7168351,350.960271,215.808828,180.000007
2026-03-21T07:40:07Z,6898.13595,2.78689967e-07,97.7168608,350.960289,215.871973,180.000003
2026-03-21T07:40:08Z,6898.13595,2.78689839e-07,97.7168865,350.960308,215.935124,179.999992
2026-03-21T07:40:09Z,6898.13595,2.78689873e-07,97.7169121,350.960327,215.998257,180.000001
2026-03-21T07:40:10Z,6898.13595,2.78689801e-07,97.7169378,350.960346,216.061396,180.000003
2026-03-21T07:40:11Z,6898.13595,2.78689806e-07,97.7169634,350.960365,216.124539,180
2026-03-21T07:40:12Z,6898.13595,2.78690005e-07,97.716989,350.960384,216.187679,180.000002
2026-03-21T07:40:13Z,6898.13595,2.78689984e-07,97.7170146,350.960402,216.250827,179.999995
2026-03-21T07:40:14Z,6898.13595,2.78689902e-07,97.7170401,350.960421,216.313969,179.999993
2026-03-21T07:40:15Z,6898.13595,2.78689878e-07,97.7170657,350.96044,216.377105,179.999998
2026-03-21T07:40:16Z,6898.13595,2.78689695e-07,97.7170912,350.960459,216.440236,180.000009
2026-03-21T07:40:17Z,6898.13595,2.78689661e-07,97.7171167,350.960478,216.503376,180.000009
2026-03-21T07:40:18Z,6898.13595,2.78689944e-07,97.7171422,350.960497,216.56653,179.999997
2026-03-21T07:40:19Z,6898.13595,2.78689936e-07,97.7171676,350.960516,216.629672,179.999995
2026-03-21T07:40:20Z,6898.13595,2.78689897e-07,97.7171931,350.960536,216.692803,180.000005
2026-03-21T07:40:21Z,6898.13595,2.78689923e-07,97.7172185,350.960555,216.755958,179.999992
2026-03-21T07:40:22Z,6898.13595,2.78689801e-07,97.7172439,350.960574,216.819094,179.999996
2026-03-21T07:40:23Z,6898.13595,2.78689912e-07,97.7172692,350.960593,216.88223,180.000001
2026-03-21T07:40:24Z,6898.13595,2.78689839e-07,97.7172946,350.960612,216.945377,179.999996
2026-03-21T07:40:25Z,6898.13595,2.78689884e-07,97.7173199,350.960632,217.008515,179.999998
2026-03-21T07:40:26Z,6898.13595,2.78689817e-07,97.7173452,350.960651,217.071647,180.000008
2026-03-21T07:40:27Z,6898.13595,2.7868981e-07,97.7173705,350.96067,217.134787,180.000009
2026-03-21T07:40:28Z,6898.13595,2.78689947e-07,97.7173958,350.960689,217.197934,180.000003
2026-03-21T07:40:29Z,6898.13595,2.78689777e-07,97.717421,350.960709,217.26108,179.999997
2026-03-21T07:40:30Z,6898.13595,2.7868991e-07,97.7174462,350.960728,217.324225,179.999993
2026-03-21T07:40:31Z,6898.13595,2.78689865e-07,97.7174714,350.960748,217.387355,180.000005
2026-03-21T07:40:32Z,6898.13595,2.78689833e-07,97.7174966,350.960767,217.450498,180.000003
2026-03-21T07:40:33Z,6898.13595,2.78689841e-07,97.7175218,350.960787,217.513657,179.999985
2026-03-21T07:40:34Z,6898.13595,2.78689691e-07,97.7175469,350.960806,217.576788,179.999995
2026-03-21T07:40:35Z,6898.13595,2.78689918e-07,97.717572,350.960826,217.639916,180.000007
2026-03-21T07:40:36Z,6898.13595,2.78689867e-07,97.7175971,350.960845,217.703064,180.000001
2026-03-21T07:40:37Z,6898.13595,2.78689927e-07,97.7176222,350.960865,217.766199,180.000007
2026-03-21T07:40:38Z,6898.13595,2.78689898e-07,97.7176473,350.960884,217.829336,180.000011
2026-03-21T07:40:39Z,6898.13595,2.78689733e-07,97.7176723,350.960904,217.892496,179.999992
2026-03-21T07:40:40Z,6898.13595,2.78689918e-07,97.7176973,350.960924,217.955635,179.999994
2026-03-21T07:40:41Z,6898.13595,2.78689808e-07,97.7177223,350.960943,218.018771,179.999999
2026-03-21T07:40:42Z,6898.13595,2.78689892e-07,97.7177473,350.960963,218.081913,179.999999
2026-03-21T07:40:43Z,6898.13595,2.78689875e-07,97.7177722,350.960983,218.145051,180.000002
2026-03-21T07:40:44Z,6898.13595,2.78689775e-07,97.7177971,350.961003,218.208199,179.999995
2026-03-21T07:40:45Z,6898.13595,2.78689799e-07,97.7178221,350.961022,218.271343,179.999992
2026-03-21T07:40:46Z,6898.13595,2.7868987e-07,97.7178469,350.961042,218.334476,179.999999
2026-03-21T07:40:47Z,6898.13595,2.7868988e-07,97.7178718,350.961062,218.397611,180.000005
2026-03-21T07:40:48Z,6898.13595,2.78689891e-07,97.7178966,350.961082,218.460752,180.000005
2026-03-21T07:40:49Z,6898.13595,2.78689951e-07,97.7179214,350.961102,218.523905,179.999994
2026-03-21T07:40:50Z,6898.13595,2.78689859e-07,97.7179462,350.961122,218.587051,179.999989
2026-03-21T07:40:51Z,6898.13595,2.78689837e-07,97.717971,350.961142,218.650171,180.00001
2026-03-21T07:40:52Z,6898.13595,2.78689756e-07,97.7179958,350.961162,218.713329,179.999993
2026-03-21T07:40:53Z,6898.13595,2.78689855e-07,97.7180205,350.961182,218.776464,179.999999
2026-03-21T07:40:54Z,6898.13595,2.78690025e-07,97.7180452,350.961202,218.839599,180.000006
2026-03-21T07:40:55Z,6898.13595,2.7868989e-07,97.7180699,350.961222,218.902747,179.999999
2026-03-21T07:40:56Z,6898.13595,2.78689717e-07,97.7180946,350.961242,218.965877,180.00001
2026-03-21T07:40:57Z,6898.13595,2.78689696e-07,97.7181192,350.961262,219.029032,179.999996
2026-03-21T07:40:58Z,6898.13595,2.78689907e-07,97.7181438,350.961282,219.092173,179.999996
2026-03-21T07:40:59Z,6898.13595,2.78689944e-07,97.7181684,350.961302,219.155308,180.000002
2026-03-21T07:41:00Z,6898.13595,2.78689729e-07,97.718193,350.961323,219.218455,179.999996
2026-03-21T07:41:01Z,6898.13595,2.78689907e-07,97.7182175,350.961343,219.281596,179.999996
2026-03-21T07:41:02Z,6898.13595,2.78689883e-07,97.7182421,350.961363,219.344726,180.000008
2026-03-21T07:41:03Z,6898.13595,2.78689897e-07,97.7182666,350.961384,219.407871,180.000003
2026-03-21T07:41:04Z,6898.13595,2.78689965e-07,97.7182911,350.961404,219.47101,180.000006
2026-03-21T07:41:05Z,6898.13595,2.78689791e-07,97.7183155,350.961424,219.534166,179.999991
2026-03-21T07:41:06Z,6898.13595,2.7868991e-07,97.71834,350.961445,219.597299,179.999998
2026-03-21T07:41:07Z,6898.13595,2.78689934e-07,97.7183644,350.961465,219.660429,180.00001
2026-03-21T07:41:08Z,6898.13595,2.78689897e-07,97.7183888,350.961485,219.723578,180.000002
2026-03-21T07:41:09Z,6898.13595,2.78689705e-07,97.7184132,350.961506,219.786706,180.000015
2026-03-21T07:41:10Z,6898.13595,2.78689697e-07,97.7184375,350.961526,219.849879,179.999983
2026-03-21T07:41:11Z,6898.13595,2.78689961e-07,97.7184619,350.961547,219.913027,179.999977
2026-03-21T07:41:12Z,6898.13595,2.78689841e-07,97.7184862,350.961567,219.976141,180.000004
2026-03-21T07:41:13Z,6898.13595,2.78689925e-07,97.7185105,350.961588,220.039277,180.000009
2026-03-21T07:41:14Z,6898.13595,2.78689981e-07,97.7185347,350.961609,220.102429,179.999999
2026-03-21T07:41:15Z,6898.13595,2.78689867e-07,97.718559,350.961629,220.165573,179.999995
2026-03-21T07:41:16Z,6898.13595,2.78689944e-07,97.7185832,350.96165,220.228703,180.000007
2026-03-21T07:41:17Z,6898.13595,2.78689764e-07,97.7186074,350.961671,220.29185,180.000002
2026-03-21T07:41:18Z,6898.13595,2.78689767e-07,97.7186315,350.961691,220.355009,179.999984
2026-03-21T07:41:19Z,6898.13595,2.78689818e-07,97.7186557,350.961712,220.418123,180.000011
2026-03-21T07:41:20Z,6898.13595,2.78689775e-07,97.7186798,350.961733,220.481265,180.00001
2026-03-21T07:41:21Z,6898.13595,2.78689902e-07,97.7187039,350.961754,220.544417,179.999999
2026-03-21T07:41:22Z,6898.13595,2.78689861e-07,97.718728,350.961774,220.607549,180.000008
2026-03-21T07:41:23Z,6898.13595,2.78689879e-07,97.7187521,350.961795,220.670692,180.000006
2026-03-21T07:41:24Z,6898.13595,2.78689939e-07,97.7187761,350.961816,220.733846,179.999994
2026-03-21T07:41:25Z,6898.13595,2.78689941e-07,97.7188001,350.961837,220.797001,179.99998
2026-03-21T07:41:26Z,6898.13595,2.78689887e-07,97.7188241,350.961858,220.860118,180.000004
2026-03-21T07:41:27Z,6898.13595,2.78689895e-07,97.7188481,350.961879,220.923246,180.000018
2026-03-21T07:41:28Z,6898.13595,2.78689842e-07,97.718872,350.9619,220.986408,179.999996
2026-03-21T07:41:29Z,6898.13595,2.78689816e-07,97.718896,350.961921,221.049557,179.999989
2026-03-21T07:41:30Z,6898.13595,2.78689873e-07,97.7189199,350.961942,221.112691,179.999996
2026-03-21T07:41:31Z,6898.13595,2.78689884e-07,97.7189437,350.961963,221.175834,179.999994
2026-03-21T07:41:32Z,6898.13595,2.78689831e-07,97.7189676,350.961984,221.238962,180.000008
2026-03-21T07:41:33Z,6898.13595,2.78689838e-07,97.7189914,350.962005,221.302105,180.000005
2026-03-21T07:41:34Z,6898.13595,2.78689792e-07,97.7190152,350.962026,221.365253,179.999999
2026-03-21T07:41:35Z,6898.13595,2.78689843e-07,97.719039,350.962047,221.428385,180.000009
2026-03-21T07:41:36Z,6898.13595,2.78689857e-07,97.7190628,350.962069,221.491526,180.000009
2026-03-21T07:41:37Z,6898.13595,2.786898e-07,97.7190865,350.96209,221.55468,179.999996
2026-03-21T07:41:38Z,6898.13595,2.78689816e-07,97.7191102,350.962111,221.61783,179.999987
2026-03-21T07:41:39Z,6898.13595,2.78689968e-07,97.7191339,350.962132,221.680958,180
2026-03-21T07:41:40Z,6898.13804,0.000550986671,97.7191458,350.962143,311.715118,89.9658419
